Date,Replicates,Box,Reactor,Rack,As-of-2020-11-22(Yes/No Existing),Replicates-as-of-2020-11-23
6/3/13,2,16,R1,,Y,1
6/4/13,3,16,R1,,Y,3
6/5/13,3,16,R1,,Y,3
6/6/13,3,16,R1,,Y,3
6/10/13,3,16,R1,,Y,3
6/11/13,3,16,R1,,Y,3
6/12/13,3,16,R1,,Y,3
6/13/13,3,16,R1,,Y,3
6/14/13,3,16,R1,,Y,3
6/17/13,3,16,R1,,Y,3
6/18/13,3,16,R1,,Y,3
6/19/13,3,16,R1,,Y,3
6/25/13,3,16,R1,,Y,2
6/26/13,2,16,R1,,Y,2
6/27/13,2,16,R1,,Y,2
6/28/13,2,16,R1,,Y,2
6/30/13,2,16,R1,,Y,2
7/1/13,2,16,R1,,Y,1
9/23/13,2,16,R1,,Y,1
9/25/13,2,16,R1,,Y,2
9/27/13,2,16,R1,,Y,2
9/30/13,3,16,R1,,Y,3
10/2/13,2,16,R1,,Y,1
10/4/13,2,16,R1,,Y,2
10/7/13,2,16,R1,,Y,2
10/9/13,2,16,R1,,Y,2
10/18/13,2,16,R1,,Y,2
10/21/13,2,16,R1,,Y,2
10/25/13,2,16,R1,,Y,2
11/1/13,2,16,R1,,Y,1
11/6/13,2,16,R1,,Y,2
11/16/13,2,16,R1,,Y,1
699,1307,,,,,
,,,,,,
,,,,,,
,,,,,,
1474,2672,,,,,
